zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
0;59;45;40;53.4;44.3
868;36;42;25;40.5;44.1
1674;85;40;38;45.7;44.3
2398;45;39;42;44.1;44.1
3428;35;47;42;41.4;43.8
4432;85;47;37;55.3;43.5
5557;80;43;36;54.1;43.5
6416;88;43;35;55.5;43.9
7508;36;47;41;52.2;44.1
8775;27;32;35;47.2;44.1
10350;48;46;34;49.2;44.5
10661;48;40;26;54.5;44.9
12387;79;46;25;50.5;45.3
12854;51;47;37;46.9;45.7
13842;29;42;41;59.8;46.2
15360;85;39;34;58.8;45.8
15532;38;36;25;49.5;45.5
16426;27;45;33;42.2;45.1
17798;25;47;39;53.5;45.4
18669;89;44;26;56.7;45.5
19511;41;45;41;45.9;45.1
21330;33;42;35;40.4;44.8
21629;42;44;41;41.7;44.9
22511;55;45;35;52.6;44.7
24047;66;42;39;44.4;44.6
24885;71;44;28;50.5;44.3
25724;28;41;41;59.4;44.6
26566;59;43;42;40;45.0
27530;67;44;32;49.6;44.9
28770;28;48;36;54.7;44.7
29617;45;49;39;50.3;44.2
30587;46;46;29;52.3;44.5
31810;49;39;44;54.6;44.1
32775;57;42;42;45.7;44.0
34189;27;47;31;40.9;43.7
34725;80;47;39;47.8;43.2
35776;20;46;27;42.9;43.2
37348;32;41;44;41.3;42.9
37648;35;40;36;50.9;42.8
39065;89;40;42;44;42.4
40438;70;41;42;48.4;42.4
40511;35;39;43;59;42.3
41903;59;47;26;57.9;41.9
42785;42;45;41;57.5;42.4
43628;20;44;43;57.9;42.1
45060;83;49;42;41.1;42.6
45928;71;48;28;42.7;42.4
46798;77;36;42;40.1;42.6
47616;63;40;43;48.3;42.8
48760;50;36;38;48.1;43.3
50137;83;36;43;59;43.3
51235;41;46;38;55.2;43.0
51895;38;44;33;43.6;42.8
52740;71;41;40;47.6;42.9
53583;51;34;32;57.6;42.5
55402;53;48;42;44.5;42.5
55698;51;43;25;53.1;42.8
56570;25;43;44;52.5;42.6
57797;33;38;44;57.4;42.5
58696;78;48;44;44;42.7
60125;30;47;31;49.1;42.7
60946;35;38;42;53.1;42.7
61790;20;47;44;45.7;42.6
62632;38;41;33;55.2;42.3
64073;85;40;26;57;42.3
64945;29;49;41;42.7;42.3
65917;36;45;25;44.7;42.5
66604;48;47;32;43.5;42.5
68197;72;48;29;43;42.5
68942;88;45;37;53.7;42.6
69619;24;44;30;40.8;42.7
70576;83;46;41;47;42.4
72154;49;39;30;51.2;42.0
72643;78;46;28;53.4;41.6
74166;41;47;29;43.3;41.4
74886;28;48;30;57.7;41.1
76379;45;38;41;57.3;40.9
76639;88;48;39;47.9;40.7
77785;68;43;26;51.4;40.9
79319;21;36;35;56.4;41.1
80180;49;45;25;51.4;41.4
81541;80;33;28;49.5;41.9
86285;28;40;43;50.7;41.8
86396;73;44;32;59.4;41.5
86396;32;41;35;53.8;41.9
86397;89;49;28;57.5;42.2
86397;46;41;41;54;42.2
86586;73;49;31;56.8;42.4
88023;50;41;36;50;42.1
88952;69;41;35;59;42.0
90341;31;49;39;49.7;42.3
90703;21;44;28;41.5;42.3
92477;42;45;29;56.5;42.6
92766;69;36;43;42.7;43.0
93723;31;44;38;41.6;42.7
95460;21;47;39;40.5;43.2
95760;39;49;27;58.8;43.7
96629;88;47;37;57.2;43.3
98475;53;47;29;52.4;43.7
98848;87;43;38;42.1;43.7
99690;89;45;28;43.5;43.6
101484;85;47;37;52.1;43.5
101786;72;43;26;54.6;43.3
103202;39;49;30;55.5;43.2
104070;27;40;42;59.8;42.7
104936;75;36;30;57.9;42.7
105719;65;45;40;55.1;43.1
107560;87;45;41;40.8;43.2
107715;27;33;43;56.7;43.5
109537;63;44;42;47;44.0
109836;43;35;33;46.3;43.9
110797;88;44;28;40.3;44.3
112582;54;46;40;59.5;43.9
112776;34;41;36;52.5;44.2
114537;38;48;25;56.9;44.5
114984;64;49;40;55.1;44.6
115846;63;34;40;54.1;44.5
116702;25;42;31;50.5;44.2
118517;49;47;40;53.3;44.7
118913;56;40;34;42.5;45.0
119765;64;43;27;57.3;44.5
121653;73;44;31;59.8;44.7
121743;39;42;31;56.9;44.4
123152;68;40;37;47.4;44.8
124034;60;41;41;54.6;44.6
124873;65;43;37;45.4;45.0
125717;55;35;26;59.3;44.9
127100;76;44;40;41.8;44.5
127682;43;44;37;51.5;44.8
129485;71;42;28;47.8;44.4
129836;29;46;32;51.1;44.5
130679;73;44;44;56.6;44.4
132494;60;46;38;54;44.0
132814;60;36;28;47.7;44.1
133752;57;43;41;42.9;44.2
135520;62;41;29;53;44.2
135827;74;49;34;46.9;44.2
136700;87;35;43;42.4;44.3
138104;79;49;31;49.9;43.8
139507;23;44;28;52.6;43.7
139842;37;48;43;56.3;43.6
140678;89;39;34;56;43.8
142181;46;42;33;43;44.2
143637;46;34;40;41.3;44.4
143718;52;44;38;50.2;44.0
145166;23;39;29;54.7;44.0
146076;29;48;40;52.3;44.4
147487;35;45;28;59.9;44.5
147783;46;47;39;51;44.4
149666;36;44;37;49.3;44.7
149739;66;41;41;42.6;45.1
151242;21;36;42;58.5;45.6
152187;29;37;36;47.5;46.0
153596;61;49;34;50.7;45.5
153895;22;45;34;53.5;45.9
154774;24;36;40;54;45.8
