zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
0;31.33;33.3;41.7;319.9;44.9663
214;31.73;33.3;42.0;319.5;44.9662
416;31.96;33.3;42.2;319.7;44.9661
600;32.91;33.5;42.5;319.7;44.9660
814;33.40;33.6;42.5;320.1;44.9660
1004;33.53;33.7;42.7;319.8;44.9659
1213;34.28;33.6;42.3;320.3;44.9658
1434;35.56;33.7;42.3;320.1;44.9657
1605;36.73;33.6;42.3;320.2;44.9656
1841;37.57;33.8;42.1;320.8;44.9655
2030;37.85;33.7;42.2;320.7;44.9655
2204;37.48;33.5;41.9;320.0;44.9654
2432;37.80;33.6;41.7;319.9;44.9653
2621;37.61;33.5;41.4;319.9;44.9652
2855;36.18;33.7;41.0;320.4;44.9652
3023;34.59;33.6;41.1;320.8;44.9651
3207;33.92;33.8;41.0;320.8;44.9650
3422;32.97;34;41.0;320.6;44.9649
3606;31.70;34.1;40.7;320.0;44.9648
3822;30.59;34;40.6;319.8;44.9648
4005;29.60;34.2;40.2;320.1;44.9647
4208;28.94;34.1;39.8;320.5;44.9646
4421;27.89;34.4;40.1;319.9;44.9645
4607;29.59;34.2;39.9;319.5;44.9644
4823;30.11;34;39.5;319.9;44.9644
5017;31.35;34.1;39.6;319.5;44.9643
5264;31.80;34.1;39.6;319.7;44.9642
5407;32.60;34.3;39.6;319.7;44.9641
5608;34.00;34.4;39.9;319.9;44.9640
5817;34.28;34.6;39.6;320.1;44.9640
6049;35.47;34.8;39.3;320.4;44.9639
6264;35.86;34.8;39.1;320.5;44.9638
6411;36.52;34.8;39.2;320.5;44.9637
6617;37.25;34.7;39.2;321.0;44.9636
6827;37.46;34.9;38.8;320.7;44.9636
7012;37.54;34.8;39.0;321.1;44.9635
7213;37.61;34.8;39.0;321.0;44.9634
7420;37.38;35;38.7;321.5;44.9633
7615;37.13;35.2;38.4;321.3;44.9632
7849;37.25;35;38.6;320.8;44.9631
8014;37.68;35.2;38.7;321.5;44.9631
8254;37.39;35.3;38.8;322.0;44.9630
8415;37.35;35.3;38.5;321.9;44.9629
8720;37.80;35.1;38.2;321.9;44.9628
8879;37.26;35.2;38.4;321.2;44.9627
9015;37.79;35.4;38.4;320.8;44.9626
9217;37.49;35.6;38.1;320.2;44.9625
9433;37.29;35.6;38.5;320.8;44.9625
9615;37.28;35.6;38.9;321.1;44.9624
9834;36.86;35.8;39.2;321.7;44.9623
10017;36.51;35.6;39.6;321.8;44.9622
10247;36.38;35.4;39.5;321.3;44.9621
10419;36.84;35.2;39.2;321.3;44.9621
10679;37.63;35.2;39.2;320.7;44.9620
10838;37.37;35.3;39.2;320.2;44.9619
11018;38.26;35.2;39.6;319.6;44.9618
11233;38.61;35;39.2;319.8;44.9617
11422;36.97;34.8;39.3;319.4;44.9616
11662;35.99;34.9;39.2;319.4;44.9616
11820;35.15;35;39.2;319.9;44.9615
12025;33.88;35.3;38.9;319.7;44.9614
12232;32.69;35.4;39.3;320.0;44.9613
12424;31.33;35.2;39.3;320.2;44.9612
12639;30.54;35;39.5;319.6;44.9612
12917;29.39;35.1;39.6;319.1;44.9611
13053;28.84;35.2;39.7;318.4;44.9610
13227;30.17;35;39.7;319.1;44.9609
13467;31.76;35;39.7;318.6;44.9608
13627;32.92;35;39.9;319.1;44.9607
13827;34.17;34.9;39.6;318.6;44.9607
14033;34.46;34.7;39.5;318.8;44.9606
14231;34.63;34.9;39.3;319.1;44.9605
14458;34.53;35;39.2;319.0;44.9604
14703;34.58;35.2;39.0;318.5;44.9603
14857;35.27;34.9;39.0;319.1;44.9602
