zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
0;52;40;25;53.3;44.9
875;32;40;32;49.6;44.8
2645;76;38;43;46;44.5
3003;46;36;29;47.2;44.5
3788;68;46;36;45.4;44.4
5071;27;36;25;49.5;44.2
5924;40;47;39;55.1;44.3
7706;27;48;32;40.8;44.2
7779;66;45;35;54.3;44.6
9183;52;34;32;49.1;44.7
10563;40;48;36;56.6;45.1
10851;39;41;38;54.4;44.7
12195;83;40;42;46.4;44.9
13552;53;44;37;50.9;44.9
13837;70;37;37;44.9;44.8
15662;75;48;43;56.9;45.1
15951;74;45;38;59;45.1
16813;62;43;26;50.2;45.0
18614;47;38;27;48.3;45.4
18887;69;48;35;52.6;45.0
20707;83;45;33;44.7;44.7
20780;87;46;25;52.7;44.7
22188;25;43;38;44.3;44.7
23051;32;47;30;41;44.5
23861;37;40;35;50.4;44.6
25651;42;46;33;42.1;44.7
25938;81;37;27;49;44.7
27779;73;43;33;56.1;44.4
27857;85;48;39;59.2;44.1
29244;47;43;26;46;44.6
30099;69;40;41;40.1;44.3
30916;64;41;26;58.4;44.3
32698;89;41;43;58;44.3
32984;84;35;38;59.8;44.5
33869;72;38;31;42.5;44.1
35695;49;48;37;50.4;44.1
35973;56;33;27;59.6;44.1
37793;29;47;40;41.8;44.1
37864;53;48;38;52.3;44.1
39234;69;45;33;40.6;43.7
40608;73;33;31;56.8;44.0
40892;73;43;34;55.1;44.1
42240;69;45;40;45.7;43.8
43095;74;47;28;50.3;43.4
43917;39;44;32;41.3;43.8
45701;53;45;29;41.6;43.9
46111;52;46;28;48.3;44.3
47816;64;44;29;50;43.9
47888;54;47;40;53.1;43.9
49284;29;47;28;49.4;43.4
50660;42;45;34;47.4;43.5
50955;51;41;35;57.7;43.5
52317;52;34;37;43.8;43.8
53178;41;47;26;41.1;43.9
54008;52;43;37;40.2;44.3
55795;25;44;42;46.6;44.1
56082;20;47;26;46.1;44.6
56972;83;43;38;53.2;44.5
58287;69;40;36;47.7;44.7
59743;26;44;26;56.1;44.2
60088;49;47;37;59.8;44.4
61447;54;43;31;55.5;44.5
62358;33;39;35;54.2;44.3
63200;38;46;25;53.4;44.5
64489;28;46;43;40.8;44.3
65324;68;38;32;56.9;44.4
66154;80;43;42;45.4;44.2
66962;73;44;28;46.7;44.0
68277;31;43;38;41.8;44.0
69719;22;39;32;58.3;44.4
70038;24;45;27;48.3;44.6
71372;48;43;44;48.1;44.9
72173;85;39;43;49.8;45.0
73049;57;47;36;41.8;44.6
74340;26;42;39;41.7;44.2
75203;74;43;41;44.7;43.8
76031;54;48;27;56.4;43.9
77342;84;44;34;40.6;43.9
78586;37;34;36;42.7;44.0
79925;87;46;35;41.2;44.4
81180;26;49;42;48.6;44.8
81719;67;48;39;43.1;45.0
83294;31;47;33;59.7;44.6
83368;88;38;34;50.8;45.0
84756;49;49;25;46.8;45.0
85022;55;39;31;48.7;44.9
86492;75;36;37;43.2;44.7
87317;46;43;25;53.9;44.3
88093;76;48;40;42.7;44.3
89879;78;44;39;50.9;44.5
89952;81;47;36;45.3;44.3
91242;59;49;30;48;43.9
92102;37;47;25;45.2;43.9
93454;57;40;39;43.3;43.5
94393;79;43;25;58.7;43.5
95189;88;48;41;53.1;43.0
96412;40;42;27;52.3;43.0
97321;49;44;39;48.6;43.4
98104;53;39;33;44.2;43.5
99378;55;43;25;43.2;43.5
100362;58;44;27;57.7;43.5
101142;75;32;41;46;43.5
102453;30;35;41;51.2;43.6
103259;34;34;31;57.6;43.3
104247;23;37;34;44.8;43.7
105483;34;48;27;54.1;43.9
106282;59;44;33;43.5;44.4
107208;84;41;38;48.8;44.8
108144;37;44;39;59.6;44.3
109179;86;41;26;44.8;44.5
110404;89;41;37;47.8;44.2
111360;52;39;31;54.8;44.3
112017;63;37;30;47.4;44.7
113405;26;47;32;53.3;44.9
114268;20;47;31;50.9;45.0
115141;58;44;41;41.6;45.0
116377;79;42;28;47.1;45.4
117372;48;47;26;50;45.1
118188;85;45;43;50.3;45.1
119379;52;37;29;45.5;45.3
120596;55;47;26;45.1;45.2
121242;50;45;44;56.6;45.2
122519;45;44;42;46.3;45.0
123388;89;43;40;45.7;45.4
124296;23;36;31;50.5;45.6
125084;31;31;38;55;45.8
126484;47;39;33;53.6;45.9
127377;82;49;26;44.9;45.6
128208;48;39;43;55.3;45.5
129059;68;39;26;47.7;45.9
130349;21;46;30;46.6;46.0
131589;88;36;29;60;45.8
132292;50;43;32;49.4;45.6
133982;25;43;33;41.3;45.5
134060;82;49;32;41.3;45.8
135460;86;34;42;49.6;45.7
136318;43;36;34;40.7;45.7
137138;41;42;44;45.8;45.6
138451;27;47;29;56.6;45.1
139307;75;38;25;49.8;44.8
