zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
0;86;38;44;50.5;35.9
1083;75;42;43;40.9;36.1
2868;72;47;31;46.7;36.6
3317;26;44;35;43.3;37.0
4221;20;44;32;56.2;37.3
5131;51;46;32;58.1;37.5
6441;84;46;31;46.5;37.5
7331;54;43;33;53.1;37.3
8213;67;43;44;51.7;37.2
9115;68;46;34;44.5;37.2
10024;22;44;36;44.7;36.9
11027;72;42;27;51.2;36.6
12476;41;47;41;59.9;36.9
13945;31;42;33;57.6;37.1
14020;45;47;39;57.8;36.8
15490;36;40;36;59.6;37.0
16370;65;37;36;40.1;36.9
17254;36;39;26;50.9;36.7
18152;68;40;42;48.8;36.3
19027;59;46;27;44.7;36.7
20905;71;42;29;54.3;37.2
21222;26;43;39;51;37.5
22631;79;46;28;56;38.0
23557;21;47;31;46.5;37.5
24371;83;49;37;47.7;37.4
25257;62;40;30;41.5;37.4
26142;80;47;42;49.3;37.4
27026;21;43;32;42.3;37.3
28904;84;49;31;49.8;37.3
29306;73;38;38;43.2;36.9
30124;73;49;35;41.9;37.4
31119;73;38;39;58.4;36.9
32987;76;43;38;59;36.5
33059;42;49;42;56;36.1
34014;49;43;38;59;36.0
35902;57;43;42;52.7;35.8
36221;25;49;34;48.5;36.3
37195;51;48;40;54;35.8
38089;84;33;26;58.5;35.7
