zaman_ms;hiz_kmh;T_bat_C;T_tank_C;V_bat_V;kalan_enerji_Wh
0;40.83;32.1;39.3;312.0;44.9778
197;40.55;32.1;39.7;311.5;44.9777
405;40.14;32.2;39.4;312.1;44.9776
597;40.75;32.1;39.2;312.2;44.9776
797;40.58;32.1;39.0;311.5;44.9775
1068;40.42;32.1;38.9;311.7;44.9774
1241;40.84;31.9;38.8;311.7;44.9774
1403;41.01;31.8;38.5;311.0;44.9773
1599;40.42;31.8;38.4;310.3;44.9772
1801;39.94;32;38.1;310.7;44.9771
2000;39.62;32.1;37.8;310.1;44.9771
2199;40.11;32.1;37.5;310.4;44.9770
2409;39.74;32.2;37.2;310.6;44.9769
2601;40.12;32.3;37.2;310.0;44.9769
2864;39.92;32.3;36.9;309.5;44.9768
3000;40.54;32.3;36.5;308.9;44.9767
3227;40.13;32.2;36.3;309.1;44.9766
3406;40.14;32;36.0;308.8;44.9766
3603;39.77;32.1;35.7;309.2;44.9765
3805;39.14;32.3;35.7;309.7;44.9764
4005;39.41;32.3;35.8;310.0;44.9764
4208;39.78;32.4;35.9;309.3;44.9763
4413;39.84;32.6;35.9;308.8;44.9762
4607;40.34;32.8;36.2;308.3;44.9761
4809;39.98;32.6;36.0;307.7;44.9761
5010;39.94;32.6;35.9;307.4;44.9760
5210;40.35;32.5;36.1;307.7;44.9759
5428;39.71;32.7;35.9;307.5;44.9759
5624;39.50;32.8;36.2;306.9;44.9758
5809;39.19;32.9;36.5;307.0;44.9757
6013;38.48;33;36.7;307.0;44.9756
6214;39.11;32.8;36.6;306.5;44.9756
6410;39.07;33;36.8;306.9;44.9755
6610;39.08;32.8;37.2;306.8;44.9754
6811;38.56;32.6;37.0;307.2;44.9754
7012;39.26;32.5;36.9;307.1;44.9753
7212;38.65;32.4;36.9;307.6;44.9752
7412;38.96;32.4;36.5;306.9;44.9751
7613;39.80;32.4;36.8;306.4;44.9751
7814;39.40;32.4;36.5;306.2;44.9750
8013;39.06;32.3;36.3;306.5;44.9749
8215;38.68;32.6;36.4;306.3;44.9749
8413;39.48;32.7;36.1;306.2;44.9748
8614;40.22;32.8;35.9;305.9;44.9747
8813;39.46;32.9;36.1;306.4;44.9746
9020;40.26;33.1;36.5;306.5;44.9746
9213;39.70;33.2;36.5;306.4;44.9745
9414;39.06;33.2;36.9;306.2;44.9744
9617;38.59;33.3;37.1;306.8;44.9743
9816;37.97;33.2;36.8;307.4;44.9743
10015;37.79;33.1;37.1;306.9;44.9742
10222;37.76;33.4;37.3;307.3;44.9741
10418;37.35;33.1;37.2;307.0;44.9740
10619;38.20;33.4;36.8;307.3;44.9740
10820;38.88;33.3;37.0;307.4;44.9739
11018;38.54;33.4;37.1;308.1;44.9738
11220;38.92;33.5;37.1;307.9;44.9738
11421;38.25;33.4;37.1;307.4;44.9737
11621;38.38;33.6;37.1;306.8;44.9736
11824;37.83;33.8;37.3;307.2;44.9735
12023;37.32;33.8;37.1;306.9;44.9735
12225;38.14;33.8;36.8;307.1;44.9734
12421;38.11;33.6;36.5;306.7;44.9733
12621;38.06;33.6;36.5;307.4;44.9733
12823;37.76;33.6;36.1;307.8;44.9732
13022;37.94;33.5;36.1;307.6;44.9731
13222;38.90;33.7;36.5;306.9;44.9730
13423;39.22;34;36.3;307.6;44.9730
13632;39.24;34.2;36.5;307.8;44.9729
13823;39.78;34.2;36.1;308.5;44.9728
14024;40.41;34.2;36.3;308.2;44.9727
14226;40.75;34.1;36.0;308.5;44.9727
14425;40.47;34.2;36.0;309.0;44.9726
14626;39.88;34.2;36.2;309.2;44.9725
14826;40.46;34.5;36.0;309.6;44.9724
15026;40.04;34.3;35.8;308.9;44.9724
15227;40.33;34.4;35.6;309.6;44.9723
15427;40.78;34.3;36.0;309.3;44.9722
15628;40.39;34.4;36.0;309.3;44.9721
15828;38.27;34.2;35.6;309.9;44.9721
16070;36.41;34.1;35.9;309.4;44.9720
16518;35.09;33.9;36.3;309.1;44.9719
16518;33.56;34.1;36.5;308.9;44.9718
16629;32.94;34.1;36.7;309.4;44.9718
16831;31.70;34;37.0;309.0;44.9717
17079;31.05;34.1;36.7;309.3;44.9716
17231;30.71;34.2;36.7;309.4;44.9715
17430;30.20;34.2;36.9;308.7;44.9714
17630;29.44;34.2;36.8;309.2;44.9714
17832;28.66;34.1;36.6;308.6;44.9713
