date;time;h;x;y;gs;fv;fa;fw;fet;fit;bv;bc;bw;bwh;t1;t2;t3;soc;ke;jv;jc;jw;jwh
2026-01-18;10:13:58.791;24;32.859737;39.933400;87;42.37;12.26;519.53;45.60;52.60;48.02;15.51;745.05;124.26;31.9;34.0;31.2;78.12;2.41;47.99;14.18;680.58;1249.34
2026-01-18;10:13:58.971;22;32.859739;39.933350;88;42.21;12.44;525.15;44.97;52.46;48.01;15.91;763.57;122.90;31.5;34.4;30.8;78.22;2.38;48.20;14.06;677.83;1249.17
2026-01-18;10:13:59.222;20;32.859740;39.933398;89;42.67;12.57;536.56;44.05;52.99;47.91;16.29;780.34;125.32;31.9;34.8;30.9;78.00;2.42;48.17;14.23;685.69;1253.91
2026-01-18;10:13:59.485;19;32.859692;39.933441;89;42.34;12.69;537.15;45.03;53.98;48.10;16.49;793.04;125.99;31.7;34.8;30.8;78.00;2.45;48.33;14.32;692.26;1251.78
2026-01-18;10:13:59.742;22;32.859717;39.933425;90;42.22;12.48;526.90;44.81;54.67;48.27;16.58;800.34;124.15;31.9;35.0;31.1;78.02;2.44;48.50;14.59;707.67;1251.93
2026-01-18;10:14:00.007;21;32.859765;39.933465;90;42.10;12.27;516.58;45.02;54.86;48.02;16.35;785.16;123.27;31.8;34.6;31.0;77.81;2.45;48.43;14.44;699.35;1251.46
2026-01-18;10:14:00.271;22;32.859726;39.933462;88;41.95;12.32;516.67;44.36;54.26;47.86;16.43;786.13;124.77;31.3;34.4;30.8;77.82;2.42;48.28;14.39;694.75;1248.08
2026-01-18;10:14:00.522;21;32.859766;39.933432;86;42.01;12.31;517.15;44.35;55.12;47.74;16.66;795.57;126.45;31.3;34.5;31.1;77.76;2.44;48.50;14.75;715.59;1250.53
2026-01-18;10:14:00.777;22;32.859811;39.933444;84;41.73;12.49;521.30;45.28;55.78;47.77;16.61;793.64;125.01;31.7;34.5;31.0;77.58;2.43;48.68;14.72;716.66;1250.37
2026-01-18;10:14:01.029;21;32.859792;39.933447;84;41.74;12.27;512.05;45.22;56.49;47.65;16.53;787.44;125.48;31.5;34.7;31.4;77.71;2.40;48.89;14.40;703.95;1254.03
2026-01-18;10:14:01.290;23;32.859817;39.933480;82;41.85;12.16;508.74;45.93;56.31;47.54;16.82;799.62;126.66;31.4;34.8;31.4;77.60;2.38;49.02;14.51;711.41;1256.63
2026-01-18;10:14:01.555;21;32.859842;39.933454;82;42.24;12.33;520.78;46.69;55.69;47.65;16.66;794.05;125.03;31.8;34.9;30.9;77.44;2.37;48.98;14.84;727.10;1253.95
2026-01-18;10:14:01.805;21;32.859837;39.933491;80;42.33;12.15;514.16;46.87;55.11;47.80;16.28;777.92;122.80;32.2;35.0;30.9;77.25;2.32;49.08;14.53;713.17;1249.01
2026-01-18;10:14:02.067;22;32.859864;39.933459;81;41.85;12.28;514.10;46.39;55.96;47.84;15.89;760.17;121.70;32.2;35.2;31.1;77.08;2.36;48.95;14.15;692.62;1245.17
2026-01-18;10:14:02.319;24;32.859866;39.933449;79;42.01;12.35;518.77;46.03;55.89;47.98;15.97;765.97;121.69;32.4;34.7;31.3;77.16;2.31;48.82;14.22;694.03;1243.87
2026-01-18;10:14:02.584;22;32.859824;39.933481;77;41.92;12.10;507.33;46.56;55.26;47.83;15.82;756.54;122.35;32.7;34.3;31.2;77.23;2.33;48.78;14.02;684.08;1240.65
2026-01-18;10:14:02.848;22;32.859781;39.933520;79;41.92;12.05;505.39;45.61;55.08;47.67;15.72;749.51;120.03;32.4;34.0;31.1;77.40;2.33;48.73;13.70;667.47;1245.21
2026-01-18;10:14:03.100;22;32.859820;39.933474;78;41.58;11.90;494.85;45.16;55.79;47.50;15.81;750.97;119.77;32.2;34.5;31.2;77.42;2.32;48.94;13.59;664.96;1247.69
2026-01-18;10:14:03.352;20;32.859852;39.933498;80;41.91;12.13;508.14;45.41;55.84;47.35;15.44;731.25;122.01;31.9;34.3;31.3;77.64;2.34;48.95;13.58;664.85;1245.82
2026-01-18;10:14:03.618;21;32.859803;39.933483;80;41.86;12.27;513.47;45.50;56.14;47.33;15.32;725.07;122.67;32.1;34.2;31.1;77.50;2.33;49.07;13.63;668.94;1244.63
2026-01-18;10:14:03.880;19;32.859788;39.933476;81;42.01;12.10;508.36;45.28;56.64;47.35;15.19;719.49;124.90;32.1;34.2;30.9;77.28;2.30;49.12;13.34;655.19;1242.94
2026-01-18;10:14:04.143;19;32.859787;39.933457;81;42.14;12.34;520.19;44.57;56.80;47.27;15.52;733.68;125.92;31.7;33.8;30.6;77.19;2.34;49.36;12.96;639.92;1241.56
