date;time;h;x;y;gs;fv;fa;fw;fet;fit;bv;bc;bw;bwh;t1;t2;t3;soc;ke;jv;jc;jw;jwh
2025-12-27;10:56:43.275;23;32.859726;39.933393;87;42.78;12.31;526.43;45.52;51.27;47.99;15.28;733.19;124.00;32.2;33.9;31.1;77.77;2.40;48.13;14.17;681.95;1252.72
2025-12-27;10:56:44.214;22;32.859687;39.933389;88;42.44;12.49;529.92;45.00;50.88;47.83;14.96;715.41;125.55;31.9;34.0;31.5;78.02;2.35;48.20;14.17;683.20;1254.93
2025-12-27;10:56:45.215;24;32.859724;39.933407;88;42.47;12.66;537.78;44.49;50.54;47.67;14.58;694.80;127.46;31.7;33.9;31.2;77.99;2.38;48.38;14.65;708.93;1251.78
2025-12-27;10:56:46.229;22;32.859713;39.933392;86;42.31;12.66;535.42;44.10;50.09;47.56;14.85;706.13;125.38;31.3;33.9;31.6;77.76;2.43;48.25;14.72;710.23;1256.25
2025-12-27;10:56:47.243;22;32.859728;39.933437;88;41.93;12.90;540.72;44.47;50.88;47.36;14.72;696.96;122.88;31.1;34.2;31.4;77.58;2.38;48.47;14.99;726.54;1258.41
2025-12-27;10:56:48.255;21;32.859757;39.933430;86;42.05;13.02;547.22;43.77;49.92;47.27;14.85;702.08;120.50;30.9;34.0;31.5;77.50;2.42;48.53;14.50;703.75;1259.70
2025-12-27;10:56:49.256;23;32.859762;39.933424;85;41.61;12.97;539.50;44.74;50.60;47.21;14.38;678.64;119.96;31.3;33.9;31.6;77.29;2.42;48.62;14.99;728.72;1264.13
2025-12-27;10:56:50.263;23;32.859767;39.933469;84;41.71;13.10;546.53;43.99;50.23;47.35;14.30;677.07;118.78;31.4;33.8;31.8;77.41;2.39;48.60;15.36;746.38;1262.00
2025-12-27;10:56:51.278;24;32.859741;39.933509;85;41.98;13.04;547.35;44.19;51.10;47.27;14.11;666.73;118.21;31.8;33.8;31.8;77.33;2.36;48.58;15.25;740.95;1257.65
2025-12-27;10:56:52.290;22;32.859742;39.933473;86;41.98;12.90;541.70;44.04;50.14;47.07;14.49;682.00;117.27;31.6;33.4;32.3;77.55;2.36;48.59;15.27;742.22;1257.75
2025-12-27;10:56:53.301;24;32.859777;39.933502;86;41.54;12.78;530.85;43.22;50.89;46.99;14.34;673.78;117.14;31.4;33.2;32.1;77.39;2.32;48.55;15.32;743.77;1260.09
2025-12-27;10:56:54.307;24;32.859764;39.933492;85;41.46;12.58;521.59;42.90;50.60;47.06;14.12;664.58;117.15;31.5;33.5;32.3;77.50;2.28;48.53;14.98;726.91;1257.72
2025-12-27;10:56:55.323;26;32.859807;39.933478;85;41.19;12.50;514.70;43.57;50.56;46.87;14.03;657.64;115.65;31.3;33.3;32.1;77.61;2.26;48.60;14.65;712.15;1259.34
2025-12-27;10:56:56.334;27;32.859808;39.933458;83;41.38;12.44;514.65;43.61;51.06;46.69;13.89;648.76;118.01;31.6;33.3;32.5;77.52;2.31;48.61;14.60;709.84;1256.90
2025-12-27;10:56:57.346;24;32.859781;39.933408;83;41.67;12.43;518.16;42.89;51.91;46.65;13.41;625.43;120.49;31.8;33.0;32.5;77.71;2.28;48.64;14.72;715.95;1253.45
2025-12-27;10:56:58.360;23;32.859733;39.933403;81;41.66;12.41;516.95;43.86;51.04;46.69;13.74;641.29;122.11;31.4;33.0;32.8;77.94;2.29;48.56;15.21;738.51;1252.87
2025-12-27;10:56:59.369;20;32.859725;39.933397;83;41.25;12.20;503.09;43.84;50.81;46.75;14.15;661.66;123.75;31.4;33.0;32.8;77.72;2.28;48.36;15.24;736.98;1255.52
2025-12-27;10:57:00.381;20;32.859744;39.933428;82;41.18;11.98;493.27;43.28;51.38;46.94;14.56;683.46;124.51;31.2;32.5;32.7;77.64;2.26;48.14;14.92;718.31;1255.36
2025-12-27;10:57:01.393;22;32.859755;39.933453;82;40.85;12.21;498.75;44.15;51.06;46.92;14.88;698.24;124.66;30.9;32.1;33.2;77.60;2.30;48.29;15.14;730.96;1252.69
2025-12-27;10:57:02.404;24;32.859749;39.933451;81;40.37;12.02;485.12;44.97;50.62;46.99;15.04;706.91;126.68;31.4;31.9;33.1;77.70;2.29;48.54;15.53;753.59;1247.76
2025-12-27;10:57:03.410;22;32.859792;39.933453;81;40.72;12.15;494.64;44.14;49.68;47.10;14.55;685.17;125.28;31.5;32.3;33.5;77.50;2.33;48.64;16.01;778.91;1247.93
2025-12-27;10:57:04.419;23;32.859768;39.933438;80;40.96;12.32;504.73;45.06;50.13;47.22;14.59;688.70;123.38;31.2;32.1;33.5;77.30;2.29;48.79;15.83;772.24;1245.67
2025-12-27;10:57:05.429;25;32.859750;39.933429;79;40.84;12.24;499.98;44.35;50.62;47.25;14.17;669.67;121.91;31.1;32.5;33.7;77.39;2.26;48.89;16.15;789.68;1247.72
2025-12-27;10:57:06.443;24;32.859756;39.933387;78;41.20;12.46;513.14;45.21;51.11;47.09;13.88;653.71;119.57;31.6;33.0;34.0;77.53;2.31;48.75;16.22;790.67;1249.31
2025-12-27;10:57:07.452;22;32.859709;39.933427;77;41.43;12.52;518.67;45.52;50.46;46.95;14.27;669.77;117.25;31.4;32.9;34.4;77.42;2.29;48.88;16.65;814.02;1253.95
2025-12-27;10:57:08.455;20;32.859661;39.933459;76;41.36;12.52;517.73;45.41;51.05;47.15;14.31;674.81;118.75;31.5;33.3;34.0;77.51;2.26;48.85;16.91;826.13;1257.41
2025-12-27;10:57:09.465;21;32.859654;39.933479;78;41.00;12.65;518.42;45.46;50.88;46.91;14.40;675.31;116.53;31.2;33.3;34.4;77.35;2.23;48.64;17.02;827.64;1259.22
2025-12-27;10:57:10.471;18;32.859668;39.933485;78;41.42;12.46;516.10;45.88;51.46;47.13;14.37;677.12;114.80;31.5;33.1;34.9;77.39;2.21;48.60;16.93;822.66;1257.08
2025-12-27;10:57:11.485;21;32.859710;39.933488;78;41.18;12.32;507.19;45.68;51.05;46.90;14.06;659.59;113.13;31.2;33.2;35.4;77.56;2.19;48.55;17.27;838.61;1254.57
2025-12-27;10:57:12.491;23;32.859703;39.933504;78;41.47;12.34;511.66;45.78;51.68;47.04;14.00;658.68;111.71;31.4;33.0;35.3;77.50;2.22;48.63;17.77;864.28;1252.21
2025-12-27;10:57:13.507;24;32.859719;39.933541;79;41.48;12.42;515.04;45.73;51.83;46.87;13.87;649.96;110.71;31.8;32.9;34.9;77.46;2.21;48.43;17.71;857.72;1257.05
2025-12-27;10:57:14.519;24;32.859726;39.933573;81;41.77;12.33;514.94;46.10;51.40;46.77;13.95;652.33;108.38;31.5;33.1;35.3;77.39;2.17;48.47;17.27;837.20;1254.13
2025-12-27;10:57:15.528;23;32.859775;39.933563;80;42.12;12.37;520.86;46.64;51.05;46.74;14.30;668.26;108.22;31.5;33.2;35.2;77.46;2.20;48.37;17.71;856.73;1258.86
2025-12-27;10:57:16.539;24;32.859780;39.933604;82;41.76;12.25;511.71;46.11;51.36;46.88;14.58;683.71;105.97;31.9;33.0;35.2;77.48;2.23;48.37;17.89;865.28;1260.92
2025-12-27;10:57:17.542;25;32.859790;39.933635;82;41.47;12.45;516.17;46.07;51.96;47.06;15.03;707.38;108.06;32.3;32.7;35.6;77.33;2.20;48.59;17.80;864.82;1265.24
2025-12-27;10:57:18.551;22;32.859805;39.933682;83;41.66;12.35;514.33;46.28;52.30;46.87;15.50;726.31;108.37;32.1;32.9;35.8;77.32;2.16;48.52;17.62;854.94;1263.66
2025-12-27;10:57:19.550;20;32.859811;39.933635;83;41.96;12.10;507.76;46.71;52.90;46.76;15.41;720.67;106.83;32.5;33.3;35.7;77.38;2.20;48.65;18.01;876.01;1260.23
2025-12-27;10:57:20.562;20;32.859782;39.933684;84;42.10;12.03;506.43;46.75;52.67;46.79;15.77;738.01;109.18;32.8;32.9;35.9;77.59;2.19;48.81;18.31;893.47;1257.52
2025-12-27;10:57:21.575;18;32.859830;39.933702;85;42.44;12.03;510.56;46.04;51.74;46.99;15.67;736.14;110.82;32.6;33.1;35.9;77.67;2.21;48.91;18.70;914.80;1262.24
2025-12-27;10:57:22.588;16;32.859869;39.933743;87;42.82;11.90;509.60;46.18;50.80;46.85;15.77;738.83;110.97;32.6;32.7;36.3;77.69;2.25;49.05;19.16;939.68;1260.55
2025-12-27;10:57:23.598;16;32.859833;39.933760;88;42.95;12.04;517.06;47.14;51.63;46.92;15.97;749.22;112.62;32.1;33.1;36.6;77.53;2.21;49.27;19.50;960.65;1256.48
2025-12-27;10:57:24.613;17;32.859830;39.933758;87;43.37;11.99;519.92;48.07;51.95;46.97;16.17;759.54;113.42;32.0;33.0;37.0;77.38;2.18;49.51;19.54;967.21;1261.19
2025-12-27;10:57:25.625;18;32.859852;39.933728;85;43.60;11.91;519.47;47.08;52.34;46.94;16.25;762.62;114.59;31.6;33.1;37.4;77.37;2.14;49.44;19.08;943.18;1263.63
2025-12-27;10:57:26.639;19;32.859827;39.933748;84;43.78;11.93;522.25;47.28;52.71;47.09;16.03;754.75;115.09;32.0;32.9;37.5;77.49;2.15;49.54;19.19;950.83;1267.87
2025-12-27;10:57:27.648;19;32.859812;39.933772;84;43.60;11.88;517.94;47.25;53.50;46.88;16.00;749.95;116.10;31.5;32.8;37.6;77.45;2.20;49.38;19.18;946.96;1263.54
2025-12-27;10:57:28.664;21;32.859780;39.933800;85;43.14;12.09;521.73;48.00;53.67;46.87;15.78;739.47;114.92;31.6;33.1;37.8;77.62;2.25;49.15;18.70;919.13;1264.11
2025-12-27;10:57:29.678;19;32.859735;39.933765;87;43.07;11.85;510.28;48.33;53.13;46.96;16.26;763.48;116.64;31.9;33.2;37.5;77.47;2.26;48.98;18.63;912.75;1268.74
2025-12-27;10:57:30.692;21;32.859717;39.933726;87;43.55;11.96;520.77;48.43;53.55;47.10;16.53;778.59;117.24;31.6;33.4;37.2;77.36;2.21;49.15;18.16;892.35;1264.65
2025-12-27;10:57:31.699;20;32.859723;39.933719;86;43.88;12.05;528.80;48.61;53.54;47.26;16.96;801.34;115.09;31.9;33.7;37.2;77.23;2.17;49.11;17.91;879.69;1259.87
2025-12-27;10:57:32.713;20;32.859686;39.933682;88;43.57;11.87;517.10;48.18;53.49;47.26;16.91;799.25;114.72;31.6;33.6;37.6;77.23;2.17;49.34;18.15;895.57;1260.54
2025-12-27;10:57:33.712;18;32.859662;39.933634;89;43.56;11.94;519.95;48.77;53.22;47.31;16.43;777.28;115.35;32.0;33.8;37.6;77.26;2.20;49.21;18.48;909.24;1261.69
2025-12-27;10:57:34.721;17;32.859648;39.933608;88;43.44;11.90;516.89;48.35;52.73;47.51;16.71;793.92;116.78;32.2;33.4;37.4;77.32;2.22;49.12;18.04;886.24;1262.14
2025-12-27;10:57:35.722;17;32.859630;39.933651;87;43.35;11.98;519.55;48.72;53.33;47.39;17.06;808.61;117.02;32.0;33.4;37.5;77.15;2.25;49.30;18.18;896.08;1261.21
2025-12-27;10:57:36.733;19;32.859663;39.933604;85;43.43;12.14;527.35;48.52;54.12;47.22;16.65;786.36;116.53;32.0;33.3;37.1;77.38;2.28;49.17;18.52;910.77;1261.06
