date;time;h;x;y;gs;fv;fa;fw;fet;fit;bv;bc;bw;bwh;t1;t2;t3;soc;ke;jv;jc;jw;jwh;gsmspeed
2026-07-18;05:47:46.838;30.32;50.52920136;18.09612958;19;36.04;25.53;920.1;38.3;61.8;310.4;12.40;1805;0.100;32.2;34.2;33.0;85.0;44.9999;33.79;21.95;742.7;0.041;2
2026-07-18;05:47:47.035;30.52;50.52919267;18.09614928;20;35.83;26.31;942.9;38.1;62.3;310.2;12.02;1806;0.201;32.2;34.1;33.1;85.0;44.9998;33.91;21.18;759.2;0.083;3
2026-07-18;05:47:47.236;31.24;50.52918377;18.09616945;20;35.59;25.91;922.1;38.0;61.8;310.4;12.31;1775;0.299;32.2;34.0;33.1;85.0;44.9997;33.59;21.53;765.0;0.126;5
2026-07-18;05:47:47.436;31.42;50.52917482;18.09618974;20;35.64;25.84;921.1;38.1;61.8;309.9;11.67;1738;0.396;32.1;33.8;33.1;85.0;44.9996;33.85;22.41;751.3;0.168;7
2026-07-18;05:47:47.637;32.33;50.52916561;18.09621062;20;35.81;26.30;941.8;38.0;62.2;310.2;12.80;1715;0.491;31.9;33.9;33.0;85.0;44.9995;33.60;23.02;762.7;0.210;9
2026-07-18;05:47:47.837;33.49;50.52915607;18.09623224;21;35.62;26.45;942.2;38.4;61.8;309.6;12.05;1744;0.588;31.7;33.8;32.9;85.0;44.9994;33.47;23.63;745.0;0.251;11
2026-07-18;05:47:48.036;33.87;50.52914642;18.09625411;21;35.73;27.05;966.4;38.6;61.1;309.8;12.04;1721;0.684;31.7;33.7;33.0;85.0;44.9993;33.35;23.07;743.1;0.293;12
2026-07-18;05:47:48.237;34.31;50.52913665;18.09627626;20;36.03;26.46;953.4;38.7;60.8;309.7;11.78;1703;0.778;31.9;33.7;32.9;85.0;44.9992;33.51;23.04;754.7;0.335;14
2026-07-18;05:47:48.439;35.64;50.52912650;18.09629928;21;35.99;25.88;931.3;38.9;60.3;310.4;11.35;1679;0.871;32.1;33.4;33.0;85.0;44.9991;33.80;22.38;762.5;0.377;16
2026-07-18;05:47:48.637;35.61;50.52911635;18.09632227;22;36.11;25.32;914.2;38.6;60.2;310.4;12.08;1660;0.964;32.2;33.5;32.9;85.0;44.9990;34.12;22.04;771.8;0.420;18
2026-07-18;05:47:48.844;36.37;50.52910599;18.09634575;22;36.26;24.54;889.8;38.5;60.5;310.0;11.37;1664;1.056;32.0;33.5;32.9;85.0;44.9989;34.04;21.78;766.4;0.462;20
2026-07-18;05:47:49.042;37.37;50.52909535;18.09636988;22;36.32;25.01;908.6;38.8;59.9;309.4;12.02;1650;1.148;32.2;33.7;32.9;85.0;44.9989;34.11;21.51;785.9;0.506;22
2026-07-18;05:47:49.292;37.15;50.52908477;18.09639387;21;36.13;25.39;917.5;38.7;60.1;308.9;12.90;1640;1.239;32.3;33.9;32.8;85.0;44.9988;34.21;22.30;768.4;0.549;24
2026-07-18;05:47:49.441;36.81;50.52907428;18.09641763;22;35.90;25.08;900.5;38.5;59.9;308.6;12.13;1653;1.331;32.2;33.9;33.0;85.0;44.9987;33.97;22.52;777.2;0.592;26
2026-07-18;05:47:49.696;37.85;50.52906350;18.09644207;21;35.98;24.94;897.3;38.8;59.9;308.6;12.30;1672;1.424;32.2;34.0;33.0;85.0;44.9986;33.58;22.65;796.4;0.636;29
2026-07-18;05:47:49.844;38.76;50.52905246;18.09646710;22;35.88;25.10;900.4;38.7;59.9;308.9;13.19;1634;1.514;32.4;34.1;32.9;85.0;44.9985;33.85;23.14;780.1;0.680;31
2026-07-18;05:47:50.073;38.71;50.52904143;18.09649209;23;35.97;24.77;890.9;38.3;59.4;308.9;12.03;1673;1.607;32.6;34.2;32.9;85.0;44.9984;34.22;23.76;765.2;0.722;33
2026-07-18;05:47:50.244;38.64;50.52903043;18.09651703;24;36.07;25.30;912.7;38.4;59.9;308.7;12.41;1688;1.701;32.4;34.1;32.8;85.0;44.9983;34.52;24.24;765.5;0.765;35
2026-07-18;05:47:50.461;38.21;50.52901954;18.09654171;24;36.28;25.19;913.9;38.7;59.5;308.8;11.98;1684;1.795;32.4;34.2;32.9;85.0;44.9982;34.20;24.89;758.4;0.807;37
2026-07-18;05:47:50.646;38.52;50.52900857;18.09656658;23;36.03;25.74;927.6;38.4;60.2;309.4;12.49;1693;1.889;32.4;34.1;33.1;85.0;44.9981;33.83;24.46;754.8;0.849;39
2026-07-18;05:47:50.866;38.52;50.52899760;18.09659145;24;36.09;26.26;947.8;38.0;60.4;309.6;13.47;1706;1.984;32.4;34.2;33.1;85.0;44.9980;33.84;24.97;737.1;0.890;41
2026-07-18;05:47:51.045;38.73;50.52898656;18.09661646;25;36.32;26.75;971.4;38.2;60.4;309.4;12.63;1692;2.078;32.5;34.1;33.1;85.0;44.9979;33.58;25.02;716.1;0.929;44
2026-07-18;05:47:51.246;38.81;50.52897551;18.09664152;24;36.49;27.01;985.5;38.1;60.8;310.1;13.16;1654;2.169;32.4;34.0;33.1;85.0;44.9978;33.68;24.97;730.4;0.970;46
2026-07-18;05:47:51.445;38.56;50.52896452;18.09666642;24;36.42;26.89;979.4;38.4;60.6;310.5;14.30;1666;2.262;32.3;34.1;33.3;85.0;44.9977;33.65;25.20;720.0;1.010;48
2026-07-18;05:47:51.646;39.26;50.52895334;18.09669176;24;36.31;26.30;955.0;38.4;60.8;310.8;14.72;1689;2.356;32.1;34.0;33.1;85.0;44.9976;33.59;26.03;709.2;1.049;50
2026-07-18;05:47:51.846;38.57;50.52894235;18.09671667;25;36.06;26.66;961.3;38.0;61.0;310.6;14.26;1722;2.451;31.9;34.2;32.9;85.0;44.9975;33.98;25.27;716.3;1.089;52
2026-07-18;05:47:52.063;38.17;50.52893148;18.09674132;25;35.85;26.65;955.3;37.8;61.3;310.5;15.39;1697;2.546;32.1;34.4;32.7;85.0;44.9975;33.76;25.64;712.3;1.129;54
2026-07-18;05:47:52.270;38.59;50.52892049;18.09676623;24;35.82;27.22;974.9;37.9;60.6;310.3;16.13;1731;2.642;32.2;34.3;32.8;85.0;44.9974;33.85;25.63;697.3;1.167;56
2026-07-18;05:47:52.464;39.46;50.52890925;18.09679166;25;36.04;27.61;994.8;37.7;60.2;310.7;15.10;1750;2.739;32.4;34.4;32.7;85.0;44.9973;34.03;25.50;675.3;1.205;59
2026-07-18;05:47:52.648;40.18;50.52889757;18.09681735;24;35.99;27.42;987.1;37.7;60.5;311.2;15.37;1718;2.835;32.4;34.5;32.4;85.0;44.9972;34.21;25.11;686.1;1.243;61
2026-07-18;05:47:52.847;40.37;50.52888584;18.09684316;23;36.07;26.87;969.0;37.8;60.4;311.8;14.39;1685;2.928;32.4;34.7;32.6;85.0;44.9971;33.89;24.98;694.8;1.282;63
2026-07-18;05:47:53.047;41.01;50.52887392;18.09686938;24;36.16;26.48;957.5;37.9;60.4;311.8;14.75;1673;3.021;32.6;34.9;32.6;85.0;44.9970;34.09;25.51;701.1;1.321;65
2026-07-18;05:47:53.246;40.18;50.52886224;18.09689506;25;35.99;26.41;950.6;37.9;60.2;311.8;15.83;1684;3.115;32.6;34.9;32.7;85.0;44.9969;34.48;25.86;684.3;1.359;68
2026-07-18;05:47:53.448;40.37;50.52885051;18.09692087;24;35.72;27.19;971.4;38.0;60.2;312.3;14.71;1656;3.207;32.6;35.2;32.9;85.0;44.9968;34.45;26.43;678.9;1.396;70
2026-07-18;05:47:53.648;40.72;50.52883868;18.09694691;24;35.87;27.65;992.0;38.1;59.9;311.8;15.40;1629;3.297;32.8;35.0;32.9;85.0;44.9967;34.29;27.15;679.5;1.434;72
2026-07-18;05:47:53.848;40.74;50.52882684;18.09697295;24;36.02;27.22;980.4;38.0;60.1;311.7;15.41;1626;3.388;33.0;34.8;32.8;85.0;44.9966;33.99;26.88;668.0;1.471;74
2026-07-18;05:47:54.051;41.11;50.52881489;18.09699923;24;36.01;27.65;995.6;37.9;60.7;311.5;16.20;1619;3.477;32.9;35.0;32.7;85.0;44.9965;33.83;26.63;681.9;1.509;77
2026-07-18;05:47:54.251;41.74;50.52880276;18.09702592;23;35.85;27.01;968.5;37.9;60.4;311.4;16.58;1581;3.565;32.9;34.8;32.5;85.0;44.9964;34.08;25.78;675.3;1.547;79
2026-07-18;05:47:54.467;42.12;50.52879052;18.09705285;22;36.15;26.42;954.8;37.5;61.0;310.8;15.66;1571;3.653;33.0;34.6;32.5;85.0;44.9963;34.24;26.67;685.6;1.585;81
2026-07-18;05:47:54.651;41.95;50.52877833;18.09707967;22;36.15;25.98;939.0;37.7;61.3;311.0;14.68;1543;3.738;33.2;34.7;32.5;85.0;44.9963;34.04;26.28;699.0;1.624;84
2026-07-18;05:47:54.855;41.74;50.52876620;18.09710635;21;36.13;25.56;923.3;37.5;60.7;310.8;15.67;1521;3.823;33.0;34.7;32.6;85.0;44.9962;34.40;25.96;718.6;1.664;86
2026-07-18;05:47:55.085;41.99;50.52875440;18.09713320;22;36.06;26.31;948.8;37.1;60.5;310.7;15.93;1507;3.906;32.9;34.5;32.5;85.0;44.9961;34.17;26.15;725.3;1.704;88
2026-07-18;05:47:55.315;39.81;50.52874336;18.09715922;23;35.88;26.81;961.9;37.3;60.0;310.4;17.09;1534;3.992;32.9;34.3;32.8;85.0;44.9960;34.34;26.86;739.4;1.745;91
2026-07-18;05:47:55.483;38.06;50.52873280;18.09718411;22;36.08;26.23;946.4;37.1;60.1;310.8;16.21;1536;4.077;32.6;34.4;32.7;85.0;44.9959;34.21;26.35;757.4;1.787;93
2026-07-18;05:47:55.812;36.21;50.52872276;18.09720778;21;36.33;26.32;956.3;36.9;60.3;310.4;15.96;1558;4.164;32.7;34.4;32.7;85.0;44.9958;34.61;25.83;741.6;1.828;95
2026-07-18;05:47:55.895;35.35;50.52871296;18.09723089;20;36.28;25.60;928.8;36.8;60.4;310.5;16.26;1563;4.250;32.7;34.3;32.9;85.0;44.9957;34.55;26.28;747.2;1.870;97
2026-07-18;05:47:56.117;34.03;50.52870352;18.09725314;20;36.10;26.09;941.9;36.7;60.7;310.2;16.27;1529;4.335;32.7;34.4;32.9;85.0;44.9957;34.90;27.07;764.7;1.912;99
2026-07-18;05:47:56.423;32.42;50.52869453;18.09727433;20;36.00;26.52;954.6;36.8;60.8;309.7;17.35;1555;4.422;32.8;34.4;33.0;85.0;44.9956;34.93;27.22;780.9;1.956;100
2026-07-18;05:47:56.613;31.80;50.52868571;18.09729512;20;35.91;27.17;975.7;36.4;61.3;309.3;18.11;1566;4.509;32.8;34.3;32.9;85.0;44.9955;34.76;27.17;801.8;2.000;102
2026-07-18;05:47:56.739;30.75;50.52867718;18.09731523;19;36.11;27.77;1002.9;36.7;61.6;309.0;17.36;1588;4.597;32.7;34.2;32.9;85.0;44.9954;34.40;27.36;787.2;2.044;104
2026-07-18;05:47:56.943;30.34;50.52866876;18.09733506;19;35.89;27.31;980.2;36.4;61.7;308.5;17.77;1557;4.683;32.7;34.2;33.1;85.0;44.9953;34.25;27.74;796.8;2.088;105
