date;time;h;x;y;gs;fv;fa;fw;fet;fit;bv;bc;bw;bwh;t1;t2;t3;soc;ke;jv;jc;jw;jwh;gsmspeed
2026-07-21;03:57:47.917;47;41.016100;28.980500;85;44.4;8.4;405;30;67;58.8;31.9;632;100.2;32;30;48;85;44.7;58.4;17.3;2209;50.2;59
2026-07-21;03:57:48.479;74;41.017100;28.981500;73;42.2;18.5;570;33;68;47.9;17.3;1703;100.6;40;36;35;85;44.4;45.7;39.3;2493;50.3;75
2026-07-21;03:57:49.550;42;41.018100;28.982500;65;37.5;17.8;581;43;59;56.6;29.6;987;100.7;43;41;49;84;44.8;44.4;5.8;2411;50.5;80
2026-07-21;03:58:48.908;23;41.016100;28.980500;81;36.8;13.2;259;30;56;54.1;24.4;564;100.4;25;42;47;84;44.8;48.7;25;1640;50.2;49
2026-07-21;03:58:49.631;83;41.017100;28.981500;94;32.9;16.8;325;27;53;41.3;35.7;530;100.5;25;34;40;85;44.5;39.4;5.6;1695;50.3;25
2026-07-21;03:58:50.446;83;41.018100;28.982500;61;48.3;20.8;200;41;69;41.2;7;1720;100.8;35;39;32;84;44.4;58.9;23.4;641;50.4;63
2026-07-21;03:58:51.514;74;41.019100;28.983500;70;36.2;14;639;43;56;43.6;33.3;602;101.0;29;28;36;83;44.3;44.7;22.5;1482;50.6;39
2026-07-21;03:58:52.583;52;41.020100;28.984500;88;48.3;12;552;28;53;50.4;30.7;1384;101.3;25;42;31;83;44.6;40.9;7.7;1035;50.7;33
2026-07-21;03:58:53.467;64;41.021100;28.985500;94;46.4;20.9;321;35;69;59.7;26.6;1672;101.5;36;31;36;82;44.3;52.7;14.7;2274;50.9;45
2026-07-21;03:58:54.742;45;41.022100;28.986500;84;44.7;14.2;270;41;63;56.4;32.5;613;101.7;36;40;43;83;44.5;40.3;33;1384;51.1;86
2026-07-21;04:01:48.676;81;41.019100;28.983500;60;49.2;8.8;383;43;63;43.4;31.7;520;153.3;30;47;37;95;46.8;33.8;14.5;1530;72.6;84
2026-07-21;04:01:48.995;29;41.020100;28.984500;67;34.3;15.4;558;35;70;54.4;6.6;1930;153.5;40;35;33;95;47.0;54.6;11.8;421;72.8;61
2026-07-21;04:01:49.865;59;41.021100;28.985500;63;38.3;18.1;660;42;52;58.6;36;597;154.0;40;33;34;96;46.8;49.6;14.6;791;72.9;24
2026-07-21;04:01:50.920;27;41.022100;28.986500;87;48.8;6.5;346;39;57;55.7;25;612;154.4;33;29;40;96;46.8;55.8;17.3;2395;73.1;39
2026-07-21;04:01:51.838;38;41.023100;28.987500;68;45.1;9.9;441;43;54;41.2;22.1;1574;154.6;35;37;35;97;47.3;41.6;26.8;567;73.3;51
2026-07-21;04:01:53.293;73;41.024100;28.988500;91;37.6;13.8;321;36;64;40.8;23.5;869;154.9;31;37;48;97;47.0;44.4;15.9;1105;73.3;42
2026-07-21;04:01:54.705;23;41.025100;28.989500;66;45.5;22.8;290;44;52;45.7;6;1570;155.3;31;45;42;98;47.4;57.6;11.8;1904;73.5;69
2026-07-21;04:01:55.013;47;41.026100;28.990500;63;33.4;22.4;308;35;55;55.3;17.8;526;155.5;33;32;30;97;47.8;40.6;20.7;1748;73.6;83
2026-07-21;04:01:55.958;23;41.025100;28.989500;95;33.5;16.5;712;31;52;58.4;37.2;524;156.0;29;31;42;96;48.2;52.6;25;2491;73.8;33
2026-07-21;04:01:57.339;62;41.024100;28.988500;98;33.1;16.1;295;37;65;50.2;27.7;1588;156.3;28;34;40;97;47.9;37;18.5;2219;73.9;68
2026-07-21;04:01:57.917;70;41.023100;28.987500;91;37.6;18.3;530;32;70;46.3;26.2;1149;156.7;34;37;31;98;47.7;55;48.2;756;74.1;24
2026-07-21;04:01:59.768;36;41.022100;28.986500;66;41.3;9.1;665;25;74;44.2;12.9;689;156.9;40;32;36;98;47.3;35.8;12.7;1578;74.3;43
2026-07-21;04:01:59.854;53;41.021100;28.985500;81;46.6;7;380;29;74;53.1;31.4;1919;157.1;39;29;34;98;47.6;57.5;46.8;2105;74.4;89
2026-07-21;04:02:01.330;25;41.020100;28.984500;63;35.3;12.1;690;27;53;43.5;33.7;556;157.5;35;32;37;97;47.5;32.5;13.8;2238;74.5;48
2026-07-21;04:02:02.247;56;41.019100;28.983500;99;30.1;9.2;751;38;58;45.7;32.5;1316;157.7;43;41;45;97;47.4;54.4;32.3;1076;74.6;24
